Abreviation,Defination
A.ICE,Anti-icing
A/BRK,Autobrake
A/C,Aircraft
A/COLL,Anti-Collision
A/G,Air to Ground
A/S,Airspeed
A/SKID,Anti-Skid
A/STAB,Auto Stabilizer
A/THR,Autothrust
AAK,Aviation Administration of Kazakhstan
ABCM,Alternate Brake Control Manifold
ABCU,Alternate Braking Control Unit
ABDC,Avionics Broadcast Data Collector
ABS,Autobrake System
ABSELV,Alternate Brake Selector Valve
AC,Alternating Current
ACARS,Aircraft Communication Addressing and Reporting System
ACB,Attendant Call Button
ACC,Active Clearance Control
ACFT,Aircraft
ACM,Air Cycle Machine
ACOC,Air Cooled Oil Cooler
ACP,Audio Control Panel
ACS,Air Conditioning System
ACSC,Air Conditioning System Controller
ACU,Air Cooling Unit
AD,Airworthiness Directive
ADC,Air Data Computer
ADD,Aircraft Deferred Defect
ADEM,Advanced Diagnostics and Engine Monitoring
ADF,Automatic Direction Finder
ADI,Attitude Director Indicator
ADIRS,Air Data/Inertial Reference System
ADIRU,Air Data/Inertial Reference Unit
ADM,Air Data Module
ADR,Air Data Reference
ADS,Air Data System
ADSM,Avionics Data Storage Module
ADU,Area Distribution Unit
AEVC,Avionics Equipment Ventilation Computer
AF,Audio Frequency
AFCD,Aft Cargo Door
AFI,Aircraft Fault Isolation
AFM,Airplane Flight Manual
AFS,Automatic Flight System
AFT,After
AGB,Angle Gearbox
AGC,APU Generator Contactor
AGE,Aircraft Ground Equipment
AGU,Air Generation Unit
A-ICE,Anti-Ice
AICF,Anti Ice Control Function
AICS,Anti Ice Control System
AICU,Anti Ice Control Unit
AIDS,Aircraft Integrated Data System
AIP,Attendant Indication Panel
AIPC,Aircraft Illustrated Parts Catalog
AIR,Aircraft Inspection Report
AIS,Audio Integrated System
AIU,Aircraft Interface Unit
ALA,Almaty
ALS,Airworthiness Limitation Section
ALT,Altitude
AMC,Acceptable Means of Compliance
AMM,Aircraft Maintenance Manual
AMP,Aircraft Maintenance Program
AMU,Audio Management Unit
AOA,Angle Of Attack
AOG,Aircraft On Ground
AP,Autopilot
AP/FD,Autopilot/Flight Director
APU,Auxiliary Power Unit
ARM,Aircraft Recovery Manual
ASAP,As Soon As Possible
ASCU,Air Systems Control Unit
ASM,Aircraft Schematics Manual
ATC,Air Traffic Control
ATC ,Air Traffic Control
ATIS,Automatic Terminal Information Service
ATL,Aircraft Technical Logbook
ATM,Air Traffic Management
ATSU,Air Traffic Service Unit
AWD,Aircraft Wiring Diagram
AWM,Aircraft Wiring Manual
BCF,Brake Cooling Fan
BCL,Battery Charge Limiter
BCS,Brake Control System
BDD,Base Deferred Defect
BITE,Built-In Test Equipment
BS,Birdstrike
BSCS,Braking and Steering Control System
BSCU,Braking and Steering Control Unit
BSI,Borescope Inspection
BTMS,Brake Temperature Monitoring System
BTMU,Brake Temperature Monitoring Unit
BUS,Busbar
C/B,Circuit Breaker
C/L,Checklist
CAC,Civil Aviation Committee
CAME,Continuing Airworthiness Mangement Exposition
CAMO,Continuing Airworthiness Management Organisation
CB,XXXX Braker
CBMS,Circuit Breaker Monitoring System
CBMU,Circuit Breaker Monitoring Unit
CBP,Circuit Breaker Panel
CDAU,Centralized Data Acquisition Unit
CDCCL,Critical Design Configuration Control Limitation
CDL,Configuration Deveation List
CDLB,Cabin Defect Log Book
CDS,Control and Display System
CEO,Current Engine Option
CFR,Current Flight Report
CG,Center of Gravity
CIDS,Cabin Intercommunication Data System
CIT,Shymkent
CMM,Component Maintenance Manual
CMR,Certification Maintenance Requirements
CMS,Component Maintenance Sheet
CPT,Captain
CRS,Certificate Release to Service
CTS,Customer Technical Service
CVDR,Cockpit Voice and Data Recorder
CVR,Cockpit Voice Recorder
DAU,Data Acquisition Unit
DC,Direct Current
DEOA,Door Emergency Opening Actuator
DFDAMU,Digital Flight Data Acquisition and Management Unit
DFDAU,Digital Flight Data Acquisition Unit
DFDR,Digital Flight Data Recorder
DFDRS,Digital Flight Data Recording System
DFPRM,Duct and Fuel Pipe Repair Manual
DFSOV,Dual Flow Shut-Off Valve
DMC,Display Management Computer
DME,Distance Measuring Equipment
DPI,Differential Pressure Indicator
DPS,Differential Pressure Sensor
DRM,Duct Repair Manual
DSU,Data Storage Unit
DY,Days
EA,Engineering Authorization
EASA,European Aviation Safety Agency
ECAM,Electronic Centralized Aircraft Monitoring
ECAS,Emergency Cabin Alerting System
ECS,Environmental Control System
ECU,Electronic Control Unit
ED,Engine Display
EDP,Engine Driven Pump
EEC,Electronic Engine Control
EFB,Electronic Flight Bag
EFCC,Electronic Flight Control Computer
EFCS,Electrical Flight Control System
EFCU,Electrical Flight Control Unit
EFIS,Electronic Flight Instrument System
EGPWM,Enhanced Ground Proximity Warning Module
EGPWS,Enhanced Ground Proximity Warning System
EHM,Engine Health Monitoring
EIS,Electronic Instrument System
EIU,Engine Interface Unit
ELT,Emergency Locator Transmitter
EMU,Engine Monitoring Unit
EO,Engineering Order
EPM,Engineering Procedure Manual
EPR,Engine Pressure Ratio
ESS,Essential
ET,Elapsed Time
